編號,日期,時間,震央位置,緯度,經度,相對位置,震度,規模,深度
,2023-02-26,00:03,北緯 22.46 ° 東經 121.31 °, 22.46 , 121.31 ,臺東縣政府南南東方  36.0  公里 ,2級,4.6,16.1
,2023-02-25,14:06,北緯 23.19 ° 東經 121.35 °, 23.19 , 121.35 ,臺東縣政府北北東方  52.2  公里 ,1級,3.2,17.0
,2023-02-23,07:55,北緯 24 ° 東經 121.73 °, 24 , 121.73 ,花蓮縣政府東方  11.0  公里 ,2級,3.5,3.6
014   ,2023-02-23,05:18,北緯 23.99 ° 東經 121.73 °, 23.99 , 121.73 ,花蓮縣政府東方  11.7  公里 ,3級,4.6,6.9
,2023-02-22,01:00,北緯 24.95 ° 東經 123.36 °, 24.95 , 123.36 ,宜蘭縣政府東方  163.2  公里 ,2級,5.4,140.5
013   ,2023-02-21,19:01,北緯 23.52 ° 東經 121.66 °, 23.52 , 121.66 ,花蓮縣政府南方  52.6  公里 ,3級,4.8,31.3
,2023-02-21,12:39,北緯 23.74 ° 東經 121.44 °, 23.74 , 121.44 ,花蓮縣政府西南方  32.7  公里 ,3級,3.9,12.2
,2023-02-21,12:29,北緯 24.41 ° 東經 121.93 °, 24.41 , 121.93 ,宜蘭縣政府南南東方  38.9  公里 ,2級,3.9,26.7
,2023-02-21,12:22,北緯 24.43 ° 東經 121.89 °, 24.43 , 121.89 ,宜蘭縣政府南南東方  36.1  公里 ,3級,4.2,26.0
,2023-02-21,07:39,北緯 23.74 ° 東經 121.44 °, 23.74 , 121.44 ,花蓮縣政府西南方  33.1  公里 ,3級,3.9,11.3
012   ,2023-02-19,07:32,北緯 24.67 ° 東經 121.63 °, 24.67 , 121.63 ,宜蘭縣政府西南西方  14.7  公里 ,3級,4.6,54.6
011   ,2023-02-18,23:49,北緯 23.71 ° 東經 120.77 °, 23.71 , 120.77 ,南投縣政府南南東方  22.8  公里 ,4級,5.1,21.4
,2023-02-18,16:34,北緯 22.2 ° 東經 120.87 °, 22.2 , 120.87 ,屏東縣政府東南方  66.2  公里 ,3級,3.5,7.1
,2023-02-18,10:48,北緯 24.08 ° 東經 121.51 °, 24.08 , 121.51 ,花蓮縣政府西北方  14.2  公里 ,3級,3.7,20.6
,2023-02-17,15:07,北緯 24.27 ° 東經 121.76 °, 24.27 , 121.76 ,花蓮縣政府北北東方  34.5  公里 ,2級,3.4,21.6
,2023-02-17,09:35,北緯 23.94 ° 東經 121.48 °, 23.94 , 121.48 ,花蓮縣政府西南西方  15.3  公里 ,3級,3.9,18.4
010   ,2023-02-17,09:22,北緯 23.94 ° 東經 121.47 °, 23.94 , 121.47 ,花蓮縣政府西南西方  16.2  公里 ,4級,4.6,18.0
,2023-02-17,09:08,北緯 25.16 ° 東經 121.56 °, 25.16 , 121.56 ,臺北市政府北方  13.7  公里 ,3級,3.3,4.7
,2023-02-16,08:30,北緯 22.89 ° 東經 120.57 °, 22.89 , 120.57 ,高雄市政府東北方  40.2  公里 ,3級,4.1,9.1
,2023-02-13,15:34,北緯 23.26 ° 東經 121.25 °, 23.26 , 121.25 ,花蓮縣政府南南西方  89.4  公里 ,3級,4.0,17.3
,2023-02-13,05:51,北緯 23.1 ° 東經 121.17 °, 23.1 , 121.17 ,臺東縣政府北方  38.2  公里 ,2級,4.0,14.5
,2023-02-12,04:40,北緯 24.27 ° 東經 121.76 °, 24.27 , 121.76 ,花蓮縣政府北北東方  34.3  公里 ,2級,3.5,21.3
009   ,2023-02-11,19:35,北緯 23.43 ° 東經 121.53 °, 23.43 , 121.53 ,花蓮縣政府南方  62.6  公里 ,4級,5.2,34.2
,2023-02-11,05:18,北緯 24.75 ° 東經 121.37 °, 24.75 , 121.37 ,桃園市政府南南東方  28.2  公里 ,2級,3.9,6.4
,2023-02-10,23:12,北緯 22.12 ° 東經 121.39 °, 22.12 , 121.39 ,臺東縣政府南南東方  74.1  公里 ,3級,3.9,24.1
,2023-02-10,08:07,北緯 24.59 ° 東經 121.93 °, 24.59 , 121.93 ,宜蘭縣政府東南方  23.3  公里 ,3級,3.7,13.6
,2023-02-10,02:59,北緯 23.96 ° 東經 121.49 °, 23.96 , 121.49 ,花蓮縣政府西南西方  13.7  公里 ,2級,3.1,17.3
,2023-02-10,01:52,北緯 23.3 ° 東經 121.43 °, 23.3 , 121.43 ,臺東縣政府北北東方  66.8  公里 ,3級,3.8,27.0
008   ,2023-02-08,18:49,北緯 23.44 ° 東經 121.55 °, 23.44 , 121.55 ,花蓮縣政府南方  61.0  公里 ,4級,5.6,36.7
,2023-02-08,12:18,北緯 23.81 ° 東經 121.99 °, 23.81 , 121.99 ,花蓮縣政府東南東方  42.5  公里 ,2級,4.3,39.4
007   ,2023-02-08,05:48,北緯 24.75 ° 東經 121.83 °, 24.75 , 121.83 ,宜蘭縣政府東北東方  7.0  公里 ,2級,4.5,79.1
,2023-02-07,06:12,北緯 24.27 ° 東經 121.76 °, 24.27 , 121.76 ,花蓮縣政府北北東方  34.2  公里 ,3級,4.1,21.8
,2023-02-07,04:26,北緯 24.27 ° 東經 121.75 °, 24.27 , 121.75 ,花蓮縣政府北北東方  33.5  公里 ,2級,3.3,21.0
006   ,2023-02-07,04:20,北緯 24.27 ° 東經 121.76 °, 24.27 , 121.76 ,花蓮縣政府北北東方  34.3  公里 ,4級,5.1,22.1
,2023-02-06,14:37,北緯 23.44 ° 東經 121.29 °, 23.44 , 121.29 ,花蓮縣政府南南西方  69.4  公里 ,2級,3.6,11.7
,2023-02-04,03:06,北緯 23.51 ° 東經 120.72 °, 23.51 , 120.72 ,嘉義縣政府東方  43.8  公里 ,2級,3.4,7.8
,2023-02-03,22:48,北緯 24.61 ° 東經 121.64 °, 24.61 , 121.64 ,宜蘭縣政府西南方  18.2  公里 ,1級,3.8,48.1
,2023-02-02,13:54,北緯 23.1 ° 東經 120.55 °, 23.1 , 120.55 ,臺南市政府東北東方  38.9  公里 ,3級,3.7,12.6
,2023-02-01,16:03,北緯 24.25 ° 東經 121.78 °, 24.25 , 121.78 ,花蓮縣政府北北東方  32.8  公里 ,2級,3.4,14.6
,2023-03-31,20:36,北緯 23.17 ° 東經 120.7 °, 23.17 , 120.7 ,高雄市政府東北方  72.7  公里 ,3級,3.6,9.1
,2023-03-31,04:15,北緯 21.88 ° 東經 121.59 °, 21.88 , 121.59 ,臺東縣政府南南東方  106.6  公里 ,3級,4.2,20.2
