編號,日期,時間,震央位置,緯度,經度,相對位置,震度,規模,深度
,2023-04-04,06:36,北緯 23.13 ° 東經 120.8 °, 23.13 , 120.8 ,高雄市政府東北方  75.5  公里 ,3級,3.7,5.0
,2023-04-04,05:59,北緯 24.4 ° 東經 121.7 °, 24.4 , 121.7 ,宜蘭縣政府南方  37.1  公里 ,2級,3.9,62.9
025   ,2023-04-01,04:02,北緯 24.43 ° 東經 120.96 °, 24.43 , 120.96 ,苗栗縣政府東南方  20.1  公里 ,3級,4.4,1.8
,2023-04-01,04:00,北緯 22.87 ° 東經 120.64 °, 22.87 , 120.64 ,屏東縣政府東北方  26.5  公里 ,3級,4.3,16.6
,2023-05-31,18:48,北緯 22.35 ° 東經 121.14 °, 22.35 , 121.14 ,臺東縣政府南方  44.5  公里 ,2級,4.4,32.2
,2023-05-30,14:36,北緯 23 ° 東經 121.25 °, 23 , 121.25 ,臺東縣政府北北東方  28.6  公里 ,2級,3.9,29.5
,2023-05-30,03:06,北緯 23.45 ° 東經 121.5 °, 23.45 , 121.5 ,花蓮縣政府南南西方  61.6  公里 ,1級,4.2,28.3
,2023-05-30,00:27,北緯 24.07 ° 東經 121.66 °, 24.07 , 121.66 ,花蓮縣政府北北東方  9.6  公里 ,3級,4.0,27.8
,2023-05-29,04:38,北緯 24.67 ° 東經 122.12 °, 24.67 , 122.12 ,宜蘭縣政府東方  37.0  公里 ,3級,4.0,6.0
,2023-05-27,20:22,北緯 24.44 ° 東經 121.4 °, 24.44 , 121.4 ,宜蘭縣政府西南方  48.9  公里 ,3級,3.3,6.0
,2023-05-27,19:06,北緯 24.74 ° 東經 121.06 °, 24.74 , 121.06 ,新竹縣政府南南東方  10.1  公里 ,2級,2.3,9.1
,2023-05-27,08:20,北緯 24.43 ° 東經 121.4 °, 24.43 , 121.4 ,宜蘭縣政府西南方  49.4  公里 ,4級,3.9,6.1
,2023-05-27,03:56,北緯 23.9 ° 東經 121.68 °, 23.9 , 121.68 ,花蓮縣政府南南東方  11.4  公里 ,2級,4.1,25.7
,2023-05-22,04:25,北緯 24.38 ° 東經 121.74 °, 24.38 , 121.74 ,宜蘭縣政府南方  39.3  公里 ,3級,3.4,6.2
,2023-05-21,15:13,北緯 23.64 ° 東經 121.27 °, 23.64 , 121.27 ,花蓮縣政府西南方  52.8  公里 ,2級,3.9,3.8
,2023-05-16,06:28,北緯 21.92 ° 東經 121.52 °, 21.92 , 121.52 ,臺東縣政府南南東方  99.9  公里 ,3級,3.8,22.3
,2023-05-16,02:34,北緯 24.06 ° 東經 121.52 °, 24.06 , 121.52 ,花蓮縣政府西北方  12.1  公里 ,3級,4.0,17.9
,2023-05-14,07:19,北緯 23.39 ° 東經 120.29 °, 23.39 , 120.29 ,嘉義縣政府南方  7.3  公里 ,3級,3.4,7.0
036   ,2023-05-13,01:30,北緯 23.21 ° 東經 121.47 °, 23.21 , 121.47 ,臺東縣政府東北方  60.5  公里 ,4級,4.7,30.3
,2023-05-12,05:25,北緯 21.73 ° 東經 121.01 °, 21.73 , 121.01 ,臺東縣政府南方  114.5  公里 ,2級,4.6,31.9
,2023-05-11,06:07,北緯 23.11 ° 東經 120.81 °, 23.11 , 120.81 ,高雄市政府東北方  74.2  公里 ,3級,3.8,5.4
,2023-05-08,17:23,北緯 24.67 ° 東經 122.67 °, 24.67 , 122.67 ,宜蘭縣政府東方  91.7  公里 ,2級,5.4,114.8
,2023-05-08,10:02,北緯 23.41 ° 東經 121.38 °, 23.41 , 121.38 ,花蓮縣政府南南西方  69.1  公里 ,2級,4.3,30.8
,2023-05-07,23:54,北緯 24.83 ° 東經 121.94 °, 24.83 , 121.94 ,宜蘭縣政府東北東方  20.6  公里 ,2級,3.7,9.4
,2023-05-07,10:37,北緯 24.23 ° 東經 121.26 °, 24.23 , 121.26 ,南投縣政府東北東方  68.5  公里 ,2級,3.3,9.2
035   ,2023-05-04,23:38,北緯 23.45 ° 東經 121.3 °, 23.45 , 121.3 ,花蓮縣政府南南西方  68.3  公里 ,4級,5.1,14.1
,2023-05-04,16:55,北緯 23.74 ° 東經 121.73 °, 23.74 , 121.73 ,花蓮縣政府南南東方  30.3  公里 ,2級,4.1,14.7
,2023-05-04,16:15,北緯 22.76 ° 東經 120.92 °, 22.76 , 120.92 ,臺東縣政府西方  24.1  公里 ,3級,4.0,7.8
,2023-05-01,10:12,北緯 23.91 ° 東經 121.45 °, 23.91 , 121.45 ,花蓮縣政府西南西方  19.7  公里 ,4級,3.9,20.1
,2023-06-29,22:40,北緯 24.72 ° 東經 122.49 °, 24.72 , 122.49 ,宜蘭縣政府東方  73.6  公里 ,1級,5.1,98.3
,2023-06-29,01:00,北緯 23.26 ° 東經 121.24 °, 23.26 , 121.24 ,花蓮縣政府南南西方  89.1  公里 ,2級,3.7,16.6
,2023-06-29,00:03,北緯 22.68 ° 東經 120.61 °, 22.68 , 120.61 ,屏東縣政府東方  13.0  公里 ,2級,3.6,19.8
,2023-06-28,17:25,北緯 22.83 ° 東經 120.67 °, 22.83 , 120.67 ,屏東縣政府東北方  24.6  公里 ,3級,4.0,19.8
,2023-06-27,09:16,北緯 23.41 ° 東經 121.28 °, 23.41 , 121.28 ,花蓮縣政府南南西方  73.4  公里 ,2級,3.7,10.1
,2023-06-23,04:13,北緯 23.74 ° 東經 122 °, 23.74 , 122 ,花蓮縣政府東南東方  48.1  公里 ,1級,4.3,29.5
043   ,2023-06-23,02:45,北緯 24.55 ° 東經 121.67 °, 24.55 , 121.67 ,宜蘭縣政府南南西方  21.7  公里 ,2級,4.8,59.3
,2023-06-23,00:27,北緯 23.98 ° 東經 121 °, 23.98 , 121 ,南投縣政府東北東方  32.7  公里 ,2級,3.9,15.7
042   ,2023-06-22,14:04,北緯 23.9 ° 東經 121.72 °, 23.9 , 121.72 ,花蓮縣政府東南方  14.1  公里 ,3級,4.5,22.1
,2023-06-21,18:55,北緯 24.29 ° 東經 121.78 °, 24.29 , 121.78 ,花蓮縣政府北北東方  36.9  公里 ,2級,4.1,60.5
,2023-06-20,11:38,北緯 24.34 ° 東經 121.63 °, 24.34 , 121.63 ,花蓮縣政府北方  39.1  公里 ,2級,3.2,23.8
,2023-06-19,20:39,北緯 23.93 ° 東經 121.47 °, 23.93 , 121.47 ,花蓮縣政府西南西方  17.2  公里 ,2級,3.3,18.2
,2023-06-17,14:09,北緯 23.26 ° 東經 121.24 °, 23.26 , 121.24 ,花蓮縣政府南南西方  89.3  公里 ,2級,4.2,17.7
041   ,2023-06-17,09:47,北緯 23.26 ° 東經 121.24 °, 23.26 , 121.24 ,花蓮縣政府南南西方  89.3  公里 ,3級,4.4,17.0
,2023-06-16,22:23,北緯 24.26 ° 東經 120.88 °, 24.26 , 120.88 ,臺中市政府東北東方  24.5  公里 ,2級,3.7,28.5
,2023-06-15,11:09,北緯 23.14 ° 東經 121.18 °, 23.14 , 121.18 ,臺東縣政府北方  42.4  公里 ,2級,3.6,14.0
,2023-06-15,07:58,北緯 23.56 ° 東經 121.55 °, 23.56 , 121.55 ,花蓮縣政府南方  47.8  公里 ,3級,4.8,29.8
,2023-06-14,07:56,北緯 24.92 ° 東經 122.44 °, 24.92 , 122.44 ,宜蘭縣政府東北東方  71.8  公里 ,2級,4.6,17.3
,2023-06-13,14:04,北緯 22.97 ° 東經 121.37 °, 22.97 , 121.37 ,臺東縣政府東北方  32.2  公里 ,3級,3.9,19.8
040   ,2023-06-11,20:25,北緯 24.21 ° 東經 122.49 °, 24.21 , 122.49 ,花蓮縣政府東北東方  92.0  公里 ,2級,5.5,46.8
,2023-06-11,01:55,北緯 23.21 ° 東經 121.41 °, 23.21 , 121.41 ,臺東縣政府北北東方  56.8  公里 ,2級,3.7,23.4
,2023-06-10,23:51,北緯 22.85 ° 東經 120.66 °, 22.85 , 120.66 ,屏東縣政府東北方  26.0  公里 ,2級,3.7,17.7
039   ,2023-06-10,17:12,北緯 22.87 ° 東經 120.64 °, 22.87 , 120.64 ,屏東縣政府東北方  26.3  公里 ,4級,5.0,16.0
,2023-06-10,16:55,北緯 22.87 ° 東經 120.64 °, 22.87 , 120.64 ,屏東縣政府東北方  26.0  公里 ,3級,3.9,17.0
,2023-06-10,16:55,北緯 22.87 ° 東經 120.65 °, 22.87 , 120.65 ,屏東縣政府東北方  25.9  公里 ,2級,3.4,16.6
,2023-06-10,16:36,北緯 23.81 ° 東經 121.58 °, 23.81 , 121.58 ,花蓮縣政府南南西方  20.2  公里 ,2級,4.3,27.0
038   ,2023-06-10,13:31,北緯 22.86 ° 東經 120.66 °, 22.86 , 120.66 ,屏東縣政府東北方  25.7  公里 ,4級,5.4,18.3
,2023-06-10,13:26,北緯 22.86 ° 東經 120.67 °, 22.86 , 120.67 ,屏東縣政府東北方  26.9  公里 ,3級,4.3,17.1
,2023-06-10,08:28,北緯 22.87 ° 東經 120.66 °, 22.87 , 120.66 ,高雄市政府東北方  44.8  公里 ,3級,3.8,16.8
037   ,2023-06-10,03:51,北緯 22.87 ° 東經 120.67 °, 22.87 , 120.67 ,高雄市政府東北方  45.5  公里 ,3級,4.3,17.1
,2023-06-09,23:19,北緯 22.87 ° 東經 120.66 °, 22.87 , 120.66 ,高雄市政府東北方  45.3  公里 ,3級,3.6,16.8
,2023-06-09,21:58,北緯 22.87 ° 東經 120.66 °, 22.87 , 120.66 ,高雄市政府東北方  45.2  公里 ,2級,4.1,17.2
,2023-06-02,17:48,北緯 24.31 ° 東經 122.1 °, 24.31 , 122.1 ,宜蘭縣政府東南方  57.7  公里 ,2級,4.7,34.4
,2023-06-01,23:39,北緯 24.67 ° 東經 122.12 °, 24.67 , 122.12 ,宜蘭縣政府東方  36.9  公里 ,2級,3.9,5.6
,2023-06-01,21:20,北緯 24.43 ° 東經 121.4 °, 24.43 , 121.4 ,宜蘭縣政府西南方  49.1  公里 ,4級,3.7,5.8
,2023-06-01,03:43,北緯 23.71 ° 東經 122.04 °, 23.71 , 122.04 ,花蓮縣政府東南方  53.1  公里 ,2級,4.3,39.8
,2023-07-31,00:44,北緯 25.34 ° 東經 121.97 °, 25.34 , 121.97 ,基隆市政府東北方  32.4  公里 ,2級,4.2,12.9
,2023-07-28,21:17,北緯 24.72 ° 東經 121.89 °, 24.72 , 121.89 ,宜蘭縣政府東方  12.8  公里 ,3級,4.6,77.7
,2023-07-28,00:23,北緯 24.38 ° 東經 121.67 °, 24.38 , 121.67 ,宜蘭縣政府南南西方  40.3  公里 ,3級,3.5,23.7
,2023-07-27,10:42,北緯 22.61 ° 東經 121.35 °, 22.61 , 121.35 ,臺東縣政府東南方  25.6  公里 ,2級,4.1,25.1
,2023-07-26,04:01,北緯 23.9 ° 東經 121.45 °, 23.9 , 121.45 ,花蓮縣政府西南西方  19.6  公里 ,2級,3.5,21.1
,2023-07-25,05:23,北緯 23.08 ° 東經 121.27 °, 23.08 , 121.27 ,臺東縣政府北北東方  37.4  公里 ,3級,3.2,5.0
,2023-07-23,18:01,北緯 22.2 ° 東經 121.04 °, 22.2 , 121.04 ,臺東縣政府南方  62.5  公里 ,2級,3.8,9.5
,2023-07-23,00:40,北緯 24.04 ° 東經 121.62 °, 24.04 , 121.62 ,花蓮縣政府北方  5.2  公里 ,2級,3.4,8.6
,2023-07-23,00:40,北緯 24.04 ° 東經 121.64 °, 24.04 , 121.64 ,花蓮縣政府北北東方  5.8  公里 ,2級,3.2,8.0
,2023-07-22,21:35,北緯 24.04 ° 東經 121.64 °, 24.04 , 121.64 ,花蓮縣政府北北東方  5.7  公里 ,3級,3.8,7.5
,2023-07-22,21:28,北緯 23.93 ° 東經 121.58 °, 23.93 , 121.58 ,花蓮縣政府西南方  7.8  公里 ,3級,3.4,7.3
,2023-07-22,21:22,北緯 24.04 ° 東經 121.62 °, 24.04 , 121.62 ,花蓮縣政府北方  5.3  公里 ,2級,3.4,8.0
,2023-07-21,14:14,北緯 23.77 ° 東經 121.55 °, 23.77 , 121.55 ,花蓮縣政府南南西方  25.2  公里 ,3級,3.6,9.0
,2023-07-18,22:09,北緯 23.31 ° 東經 121.44 °, 23.31 , 121.44 ,臺東縣政府北北東方  68.0  公里 ,3級,3.4,28.5
054   ,2023-07-18,16:29,北緯 23.88 ° 東經 121.45 °, 23.88 , 121.45 ,花蓮縣政府西南西方  20.8  公里 ,4級,4.2,21.1
053   ,2023-07-15,15:50,北緯 23.46 ° 東經 121.32 °, 23.46 , 121.32 ,花蓮縣政府南南西方  66.2  公里 ,4級,4.1,14.2
,2023-07-14,10:39,北緯 24.78 ° 東經 121.97 °, 24.78 , 121.97 ,宜蘭縣政府東北東方  21.2  公里 ,1級,4.2,92.2
052   ,2023-07-14,10:09,北緯 23.49 ° 東經 121.31 °, 23.49 , 121.31 ,花蓮縣政府南南西方  63.8  公里 ,4級,4.5,13.4
,2023-07-13,18:34,北緯 23.79 ° 東經 121.59 °, 23.79 , 121.59 ,花蓮縣政府南方  22.8  公里 ,1級,3.8,27.9
,2023-07-13,18:03,北緯 23.9 ° 東經 121.45 °, 23.9 , 121.45 ,花蓮縣政府西南西方  19.6  公里 ,2級,3.4,20.3
,2023-07-13,14:37,北緯 23.45 ° 東經 120.7 °, 23.45 , 120.7 ,嘉義縣政府東方  41.6  公里 ,2級,3.4,3.9
,2023-07-11,19:42,北緯 24.06 ° 東經 121.52 °, 24.06 , 121.52 ,花蓮縣政府西北西方  12.8  公里 ,3級,3.8,19.3
,2023-07-10,16:48,北緯 23.27 ° 東經 121.24 °, 23.27 , 121.24 ,花蓮縣政府南南西方  88.9  公里 ,3級,3.7,16.7
051   ,2023-07-10,06:11,北緯 24.05 ° 東經 121.51 °, 24.05 , 121.51 ,花蓮縣政府西北西方  12.8  公里 ,4級,5.3,20.1
,2023-07-10,02:06,北緯 23.91 ° 東經 121.48 °, 23.91 , 121.48 ,花蓮縣政府西南西方  16.7  公里 ,2級,3.3,16.7
050   ,2023-07-09,16:16,北緯 21.87 ° 東經 121.7 °, 21.87 , 121.7 ,臺東縣政府南南東方  113.3  公里 ,4級,4.5,23.9
,2023-07-09,15:52,北緯 21.89 ° 東經 121.62 °, 21.89 , 121.62 ,臺東縣政府南南東方  107.1  公里 ,3級,4.3,20.5
,2023-07-09,13:27,北緯 21.9 ° 東經 121.43 °, 21.9 , 121.43 ,臺東縣政府南南東方  99.3  公里 ,3級,4.3,10.5
,2023-07-09,13:27,北緯 21.9 ° 東經 121.52 °, 21.9 , 121.52 ,臺東縣政府南南東方  101.9  公里 ,3級,3.9,17.9
049   ,2023-07-09,11:31,北緯 21.87 ° 東經 121.63 °, 21.87 , 121.63 ,臺東縣政府南南東方  109.6  公里 ,4級,4.6,21.0
048   ,2023-07-09,09:53,北緯 21.88 ° 東經 121.63 °, 21.88 , 121.63 ,臺東縣政府南南東方  108.8  公里 ,4級,4.5,20.3
047   ,2023-07-09,05:22,北緯 21.87 ° 東經 121.62 °, 21.87 , 121.62 ,臺東縣政府南南東方  108.7  公里 ,4級,5.3,27.0
,2023-07-09,04:26,北緯 21.87 ° 東經 121.61 °, 21.87 , 121.61 ,臺東縣政府南南東方  108.9  公里 ,3級,4.4,20.2
,2023-07-09,03:49,北緯 21.89 ° 東經 121.53 °, 21.89 , 121.53 ,臺東縣政府南南東方  103.2  公里 ,3級,4.5,14.0
046   ,2023-07-09,03:49,北緯 21.92 ° 東經 121.54 °, 21.92 , 121.54 ,臺東縣政府南南東方  101.1  公里 ,4級,4.7,16.9
045   ,2023-07-09,03:47,北緯 21.91 ° 東經 121.6 °, 21.91 , 121.6 ,臺東縣政府南南東方  104.4  公里 ,4級,5.4,23.1
,2023-07-08,16:09,北緯 23.63 ° 東經 121.3 °, 23.63 , 121.3 ,花蓮縣政府西南方  51.5  公里 ,3級,3.9,4.3
,2023-07-07,21:51,北緯 23.52 ° 東經 120.37 °, 23.52 , 120.37 ,嘉義縣政府東北方  10.2  公里 ,2級,3.3,6.3
,2023-07-07,02:21,北緯 23.42 ° 東經 121.44 °, 23.42 , 121.44 ,臺東縣政府北北東方  79.4  公里 ,2級,4.4,37.0
044   ,2023-07-07,02:03,北緯 23.13 ° 東經 121.18 °, 23.13 , 121.18 ,臺東縣政府北方  42.1  公里 ,4級,4.9,11.0
,2023-07-06,05:30,北緯 22.67 ° 東經 120.61 °, 22.67 , 120.61 ,屏東縣政府東方  12.4  公里 ,2級,3.6,19.6
,2023-07-06,01:08,北緯 24 ° 東經 121.55 °, 24 , 121.55 ,花蓮縣政府西方  6.9  公里 ,4級,4.1,13.0
,2023-07-04,15:36,北緯 23.13 ° 東經 121.18 °, 23.13 , 121.18 ,臺東縣政府北方  41.9  公里 ,2級,3.9,16.5
,2023-07-04,14:02,北緯 24.32 ° 東經 121.78 °, 24.32 , 121.78 ,宜蘭縣政府南方  46.0  公里 ,4級,3.2,4.3
,2023-08-31,12:50,北緯 23.53 ° 東經 120.39 °, 23.53 , 120.39 ,嘉義縣政府東北方  12.7  公里 ,2級,3.7,9.3
,2023-08-31,12:49,北緯 23.53 ° 東經 120.39 °, 23.53 , 120.39 ,嘉義縣政府東北方  12.0  公里 ,2級,3.8,9.9
063   ,2023-08-31,12:49,北緯 23.53 ° 東經 120.39 °, 23.53 , 120.39 ,嘉義縣政府東北方  12.4  公里 ,4級,4.5,8.9
062   ,2023-08-27,19:04,北緯 22.89 ° 東經 121.08 °, 22.89 , 121.08 ,臺東縣政府北北西方  17.1  公里 ,3級,4.2,9.6
,2023-08-27,13:10,北緯 24.42 ° 東經 121.47 °, 24.42 , 121.47 ,宜蘭縣政府西南方  45.3  公里 ,3級,3.3,7.4
,2023-08-26,15:59,北緯 23.53 ° 東經 120.39 °, 23.53 , 120.39 ,嘉義縣政府東北方  12.4  公里 ,3級,3.8,9.7
,2023-08-25,07:34,北緯 24.42 ° 東經 121.47 °, 24.42 , 121.47 ,宜蘭縣政府西南方  45.7  公里 ,4級,3.9,7.2
,2023-08-24,13:39,北緯 24.73 ° 東經 122.01 °, 24.73 , 122.01 ,宜蘭縣政府東方  24.5  公里 ,2級,4.6,73.0
,2023-08-22,11:32,北緯 23.33 ° 東經 121.89 °, 23.33 , 121.89 ,花蓮縣政府南南東方  78.3  公里 ,1級,4.0,33.4
,2023-08-21,14:58,北緯 23.82 ° 東經 121.58 °, 23.82 , 121.58 ,花蓮縣政府南南西方  19.2  公里 ,2級,3.9,21.9
,2023-08-21,12:39,北緯 23.81 ° 東經 121.59 °, 23.81 , 121.59 ,花蓮縣政府南方  20.2  公里 ,2級,4.0,22.7
,2023-08-21,12:31,北緯 23.81 ° 東經 121.58 °, 23.81 , 121.58 ,花蓮縣政府南南西方  20.2  公里 ,1級,3.7,22.1
,2023-08-20,15:10,北緯 23.52 ° 東經 121.56 °, 23.52 , 121.56 ,花蓮縣政府南方  53.0  公里 ,2級,4.3,33.7
,2023-08-17,11:52,北緯 22.82 ° 東經 121.3 °, 22.82 , 121.3 ,臺東縣政府東北東方  16.5  公里 ,2級,3.4,12.0
061   ,2023-08-16,22:58,北緯 23.53 ° 東經 120.39 °, 23.53 , 120.39 ,嘉義縣政府東北方  12.6  公里 ,4級,4.0,9.5
060   ,2023-08-16,01:09,北緯 24.17 ° 東經 121.67 °, 24.17 , 121.67 ,花蓮縣政府北北東方  20.2  公里 ,3級,4.8,27.7
,2023-08-15,15:59,北緯 23.42 ° 東經 122.06 °, 23.42 , 122.06 ,花蓮縣政府東南方  77.7  公里 ,2級,4.3,38.1
,2023-08-14,02:41,北緯 24.4 ° 東經 122.37 °, 24.4 , 122.37 ,宜蘭縣政府東南東方  72.1  公里 ,1級,4.6,53.8
059   ,2023-08-13,20:06,北緯 21.76 ° 東經 121.03 °, 21.76 , 121.03 ,臺東縣政府南方  110.9  公里 ,3級,4.8,21.0
,2023-08-13,19:47,北緯 24.56 ° 東經 122.62 °, 24.56 , 122.62 ,宜蘭縣政府東方  88.4  公里 ,1級,4.5,97.0
,2023-08-13,09:43,北緯 20.55 ° 東經 121.47 °, 20.55 , 121.47 ,臺東縣政府南方  246.2  公里 ,2級,6.0,84.0
,2023-08-13,02:27,北緯 23.36 ° 東經 121.86 °, 23.36 , 121.86 ,花蓮縣政府南南東方  73.8  公里 ,2級,4.2,28.3
,2023-08-11,18:24,北緯 23.3 ° 東經 120.94 °, 23.3 , 120.94 ,高雄市政府東北方  99.4  公里 ,2級,4.3,3.9
,2023-08-11,17:52,北緯 23.79 ° 東經 121.57 °, 23.79 , 121.57 ,花蓮縣政府南南西方  22.3  公里 ,3級,3.2,7.5
058   ,2023-08-10,10:02,北緯 24.79 ° 東經 121.95 °, 24.79 , 121.95 ,宜蘭縣政府東北東方  20.1  公里 ,2級,5.0,91.2
,2023-08-08,18:38,北緯 23.27 ° 東經 121.58 °, 23.27 , 121.58 ,臺東縣政府東北方  71.6  公里 ,2級,4.6,40.0
,2023-08-08,14:26,北緯 23.29 ° 東經 121.42 °, 23.29 , 121.42 ,臺東縣政府北北東方  65.7  公里 ,3級,3.8,25.4
,2023-08-08,14:26,北緯 23.3 ° 東經 121.43 °, 23.3 , 121.43 ,臺東縣政府北北東方  66.6  公里 ,2級,4.0,27.2
,2023-08-06,13:12,北緯 24.59 ° 東經 121.8 °, 24.59 , 121.8 ,宜蘭縣政府南南東方  16.2  公里 ,2級,4.6,64.8
057   ,2023-08-04,20:52,北緯 21.8 ° 東經 121.57 °, 21.8 , 121.57 ,臺東縣政府南南東方  113.8  公里 ,4級,4.4,10.0
,2023-08-04,20:51,北緯 21.83 ° 東經 121.67 °, 21.83 , 121.67 ,臺東縣政府南南東方  116.1  公里 ,3級,3.9,24.4
,2023-08-04,20:28,北緯 21.83 ° 東經 121.69 °, 21.83 , 121.69 ,臺東縣政府南南東方  116.1  公里 ,3級,4.2,25.1
056   ,2023-08-04,20:25,北緯 21.84 ° 東經 121.64 °, 21.84 , 121.64 ,臺東縣政府南南東方  113.5  公里 ,4級,5.0,21.4
055   ,2023-08-04,20:22,北緯 21.84 ° 東經 121.64 °, 21.84 , 121.64 ,臺東縣政府南南東方  113.3  公里 ,4級,5.0,20.3
,2023-08-02,13:11,北緯 23.1 ° 東經 121.49 °, 23.1 , 121.49 ,臺東縣政府東北方  52.1  公里 ,3級,3.8,19.9
,2023-08-01,00:38,北緯 23.92 ° 東經 121.63 °, 23.92 , 121.63 ,花蓮縣政府南方  7.6  公里 ,2級,4.4,48.3
,2023-09-30,21:04,北緯 23.91 ° 東經 121.45 °, 23.91 , 121.45 ,花蓮縣政府西南西方  19.4  公里 ,3級,3.9,21.0
,2023-09-30,16:04,北緯 24.57 ° 東經 121.89 °, 24.57 , 121.89 ,宜蘭縣政府東南方  22.2  公里 ,2級,4.4,60.2
,2023-09-28,04:13,北緯 23.11 ° 東經 121.29 °, 23.11 , 121.29 ,花蓮縣政府南南西方  102.9  公里 ,2級,3.7,17.1
,2023-09-27,14:11,北緯 23.05 ° 東經 120.72 °, 23.05 , 120.72 ,高雄市政府東北方  63.3  公里 ,2級,3.7,5.7
,2023-09-27,01:52,北緯 23.26 ° 東經 121.24 °, 23.26 , 121.24 ,花蓮縣政府南南西方  89.3  公里 ,2級,3.8,17.0
,2023-09-26,20:30,北緯 23.1 ° 東經 121.36 °, 23.1 , 121.36 ,臺東縣政府北北東方  43.6  公里 ,3級,4.1,20.9
,2023-09-26,07:04,北緯 24.49 ° 東經 122.76 °, 24.49 , 122.76 ,宜蘭縣政府東南東方  104.0  公里 ,2級,4.9,96.4
,2023-09-26,01:36,北緯 23.26 ° 東經 121.25 °, 23.26 , 121.25 ,花蓮縣政府南南西方  89.5  公里 ,3級,4.1,17.2
,2023-09-25,04:35,北緯 22.91 ° 東經 121.08 °, 22.91 , 121.08 ,臺東縣政府北北西方  18.4  公里 ,2級,3.7,8.3
,2023-09-22,02:32,北緯 22.9 ° 東經 120.59 °, 22.9 , 120.59 ,高雄市政府東北方  42.6  公里 ,2級,3.5,15.6
,2023-09-20,22:45,北緯 23.22 ° 東經 121.41 °, 23.22 , 121.41 ,臺東縣政府北北東方  57.9  公里 ,2級,4.3,35.3
,2023-09-20,19:09,北緯 24.24 ° 東經 121.77 °, 24.24 , 121.77 ,花蓮縣政府北北東方  31.6  公里 ,3級,4.1,10.6
,2023-09-20,13:25,北緯 23.64 ° 東經 121.3 °, 23.64 , 121.3 ,花蓮縣政府西南方  51.0  公里 ,3級,3.9,7.5
,2023-09-20,02:19,北緯 23.79 ° 東經 121.41 °, 23.79 , 121.41 ,花蓮縣政府西南方  30.6  公里 ,3級,3.5,26.2
,2023-09-19,07:47,北緯 23.24 ° 東經 120.45 °, 23.24 , 120.45 ,臺南市政府東北方  38.4  公里 ,2級,3.7,9.6
,2023-09-18,21:21,北緯 25.99 ° 東經 125.58 °, 25.99 , 125.58 ,基隆市政府東北東方  397.0  公里,2級,6.8,251.8
,2023-09-17,04:41,北緯 22.24 ° 東經 120.84 °, 22.24 , 120.84 ,屏東縣政府東南方  61.6  公里 ,3級,3.9,14.5
069   ,2023-09-15,18:34,北緯 24.38 ° 東經 121.83 °, 24.38 , 121.83 ,宜蘭縣政府南方  39.1  公里 ,4級,5.3,43.1
068   ,2023-09-15,18:34,北緯 24.04 ° 東經 121.67 °, 24.04 , 121.67 ,花蓮縣政府東北方  8.1  公里 ,3級,4.4,23.9
,2023-09-15,03:41,北緯 23.9 ° 東經 121.45 °, 23.9 , 121.45 ,花蓮縣政府西南西方  20.3  公里 ,3級,3.5,20.1
,2023-09-14,23:53,北緯 23.34 ° 東經 120.2 °, 23.34 , 120.2 ,嘉義縣政府西南方  16.2  公里 ,2級,3.4,10.0
,2023-09-13,11:58,北緯 21.85 ° 東經 121 °, 21.85 , 121 ,臺東縣政府南方  101.6  公里 ,2級,3.9,25.4
067   ,2023-09-12,19:03,北緯 19.3 ° 東經 121.08 °, 19.3 , 121.08 ,高雄市政府南南東方  376.3  公里,2級,6.8,59.9
,2023-09-11,07:09,北緯 22.17 ° 東經 121.4 °, 22.17 , 121.4 ,臺東縣政府南南東方  70.0  公里 ,2級,3.8,25.3
,2023-09-07,03:02,北緯 24.23 ° 東經 121.78 °, 24.23 , 121.78 ,花蓮縣政府北北東方  30.8  公里 ,1級,3.6,11.2
066   ,2023-09-06,13:21,北緯 22.9 ° 東經 120.68 °, 22.9 , 120.68 ,高雄市政府東北方  48.6  公里 ,4級,4.4,5.8
,2023-09-06,02:07,北緯 23.12 ° 東經 120.63 °, 23.12 , 120.63 ,高雄市政府北北東方  64.3  公里 ,2級,3.7,15.2
,2023-09-05,17:45,北緯 23.53 ° 東經 120.39 °, 23.53 , 120.39 ,嘉義縣政府東北方  12.1  公里 ,2級,3.1,10.9
065   ,2023-09-05,17:30,北緯 23.53 ° 東經 120.39 °, 23.53 , 120.39 ,嘉義縣政府東北方  12.0  公里 ,5弱,5.5,9.9
064   ,2023-09-05,11:13,北緯 22.25 ° 東經 120.81 °, 22.25 , 120.81 ,屏東縣政府東南方  58.4  公里 ,4級,4.7,9.0
,2023-09-04,22:42,北緯 23.37 ° 東經 120.22 °, 23.37 , 120.22 ,嘉義縣政府西南方  12.2  公里 ,3級,3.3,7.3
,2023-09-04,22:10,北緯 23.09 ° 東經 121.17 °, 23.09 , 121.17 ,臺東縣政府北方  37.3  公里 ,2級,3.5,10.5
,2023-09-04,15:50,北緯 24.8 ° 東經 122.44 °, 24.8 , 122.44 ,宜蘭縣政府東方  68.8  公里 ,1級,4.3,17.3
,2023-09-02,11:06,北緯 23.16 ° 東經 121.34 °, 23.16 , 121.34 ,臺東縣政府北北東方  49.4  公里 ,2級,3.5,14.7
,2023-09-02,02:13,北緯 23.53 ° 東經 120.38 °, 23.53 , 120.38 ,嘉義縣政府東北方  12.1  公里 ,2級,3.4,9.5
